,^GSPC,EFA,^FNAR,GD=F
2012-02-01,1324.0899658203125,38.42658615112305,147.0399932861328,660.25
2012-03-01,1374.0899658203125,40.109928131103516,145.61000061035156,713.0
2012-04-02,1419.0400390625,40.29132080078125,151.19000244140625,701.7000122070312
2012-05-01,1405.8199462890625,39.159423828125,156.35000610351562,688.0
2012-06-01,1278.0400390625,33.775634765625,144.42999267578125,580.5
2012-07-02,1365.510009765625,37.33937072753906,156.38999938964844,598.5
2012-08-01,1375.3199462890625,37.13148498535156,158.44000244140625,634.5
2012-10-01,1444.489990234375,39.6707649230957,154.6999969482422,666.75
2012-11-01,1427.5899658203125,40.24989700317383,156.1300048828125,637.75
2012-12-03,1409.4599609375,40.940399169921875,154.82000732421875,649.75
2013-02-01,1513.1700439453125,44.623897552490234,165.8000030517578,680.5
2013-03-01,1518.199951171875,43.61057662963867,166.49000549316406,642.5
2013-05-01,1582.699951171875,46.21520233154297,179.5500030517578,611.5
2013-06-03,1640.4200439453125,45.26192092895508,168.58999633789062,622.25
2013-07-01,1614.9599609375,44.29536437988281,163.0399932861328,615.25
2013-08-01,1706.8699951171875,46.8455696105957,163.1699981689453,647.25
2013-10-01,1695.0,49.12006378173828,159.88999938964844,629.5
2013-11-01,1761.6400146484375,50.207542419433594,164.57000732421875,611.0
2013-12-02,1800.9000244140625,50.35304260253906,155.14999389648438,624.0
2014-02-03,1741.8900146484375,48.13212203979492,158.58999633789062,620.4000244140625
2014-03-03,1845.72998046875,51.04431915283203,168.57000732421875,661.4000244140625
2014-04-01,1885.52001953125,52.24163055419922,168.72999572753906,640.5
2014-05-01,1883.6800537109375,52.921390533447266,173.44000244140625,649.0
2014-06-02,1924.969970703125,53.724769592285156,177.17999267578125,648.5
2014-07-01,1973.3199462890625,54.585140228271484,178.35000610351562,657.5999755859375
2014-08-01,1925.1500244140625,52.33747100830078,176.94000244140625,616.5
2014-10-01,1946.1600341796875,50.145206451416016,171.49000549316406,572.5499877929688
2014-11-03,2017.81005859375,50.1768684387207,187.25,535.0
2014-12-01,2053.43994140625,50.59632873535156,189.13999938964844,494.20001220703125
2015-02-02,2020.8499755859375,49.51679229736328,200.72000122070312,396.0
2015-03-02,2117.389892578125,52.10612106323242,196.4499969482422,412.75
2015-04-01,2059.68994140625,51.650577545166016,196.4600067138672,405.95001220703125
2015-05-01,2108.2900390625,53.74443054199219,188.75999450683594,443.75
2015-06-01,2111.72998046875,53.113075256347656,188.25,439.0
2015-07-01,2077.419921875,51.929443359375,179.5500030517578,431.79998779296875
2015-08-03,2098.0400390625,52.506446838378906,186.3800048828125,368.70001220703125
2015-09-01,1913.8499755859375,47.10219955444336,171.24000549316406,363.6499938964844
2015-10-01,1923.8199462890625,46.72837829589844,177.17999267578125,356.6499938964844
2015-11-02,2104.050048828125,50.133445739746094,190.9600067138672,360.54998779296875
2015-12-01,2102.6298828125,49.80838394165039,188.38999938964844,337.6499938964844
2016-02-01,1939.3800048828125,45.43357467651367,180.33999633789062,292.70001220703125
2016-03-01,1978.3499755859375,45.113853454589844,183.82000732421875,305.45001220703125
2016-04-01,2072.780029296875,46.35995864868164,196.00999450683594,316.3999938964844
2016-06-01,2099.330078125,47.81920623779297,196.74000549316406,372.0
2016-07-01,2102.949951171875,46.702274322509766,208.4499969482422,377.0
2016-08-01,2170.840087890625,48.24171829223633,216.85000610351562,332.3500061035156
2016-09-01,2170.860107421875,49.153682708740234,208.10000610351562,341.95001220703125
2016-10-03,2161.199951171875,49.33774185180664,200.8300018310547,366.8999938964844
2016-11-01,2111.719970703125,48.16642379760742,189.77000427246094,360.95001220703125
2016-12-01,2191.080078125,47.32976531982422,186.75,385.29998779296875
2017-02-01,2279.550048828125,50.608642578125,194.22000122070312,400.8999938964844
2017-03-01,2395.9599609375,51.538482666015625,203.58999633789062,403.25
2017-04-03,2358.840087890625,52.57820510864258,200.22000122070312,385.79998779296875
2017-06-01,2430.06005859375,56.2045783996582,201.16000366210938,377.1000061035156
2017-07-03,2429.010009765625,55.937686920166016,204.8800048828125,377.04998779296875
2017-08-01,2476.35009765625,57.81029510498047,205.5800018310547,383.45001220703125
2017-09-01,2476.550048828125,57.54400634765625,205.8000030517578,386.1499938964844
2017-10-02,2529.1201171875,58.772361755371094,202.7100067138672,394.25
2017-11-01,2579.360107421875,59.87186813354492,202.69000244140625,414.54998779296875
2017-12-01,2642.219970703125,59.98354721069336,207.6199951171875,429.29998779296875
2018-02-01,2821.97998046875,64.28311157226562,195.17999267578125,460.20001220703125
2018-03-01,2677.669921875,59.97731399536133,183.77999877929688,441.25
2018-05-01,2654.800048828125,61.192665100097656,191.6999969482422,471.1499938964844
2018-06-01,2734.6201171875,60.76728820800781,197.72000122070312,477.1499938964844
2018-07-02,2726.7099609375,58.751991271972656,200.61000061035156,479.70001220703125
2018-08-01,2813.360107421875,60.673213958740234,203.8000030517578,457.79998779296875
2018-10-01,2924.590087890625,60.26595687866211,202.1999969482422,496.1499938964844
2018-11-01,2740.3701171875,56.007408142089844,197.91000366210938,451.1499938964844
2018-12-03,2790.3701171875,56.30842208862305,206.75999450683594,414.79998779296875
2019-02-01,2706.530029296875,56.0726318359375,206.8800048828125,413.25
2019-03-01,2803.68994140625,57.826576232910156,208.52000427246094,421.0
2019-04-01,2867.18994140625,58.784095764160156,216.4499969482422,439.45001220703125
2019-05-01,2923.72998046875,59.401546478271484,219.3800048828125,446.6499938964844
2019-06-03,2744.449951171875,57.065940856933594,217.55999755859375,404.1499938964844
2019-07-01,2964.330078125,60.3721923828125,218.02000427246094,424.95001220703125
2019-08-01,2953.56005859375,58.75409698486328,222.6699981689453,405.0
2019-10-01,2940.25,59.02835464477539,230.6699981689453,402.3500061035156
2019-11-01,3066.909912109375,62.18226623535156,233.77999877929688,416.8500061035156
2019-12-02,3113.8701171875,62.008567810058594,229.02999877929688,410.79998779296875
2020-02-03,3248.919921875,62.53145980834961,235.27999877929688,381.79998779296875
2020-03-02,3090.22998046875,58.27888107299805,227.47000122070312,369.45001220703125
2020-04-01,2470.5,47.23141098022461,159.22000122070312,245.89999389648438
2020-05-01,2830.7099609375,51.160423278808594,179.75999450683594,250.39999389648438
2020-06-01,3055.72998046875,56.36521911621094,193.39999389648438,306.45001220703125
2020-07-01,3115.860107421875,57.2872314453125,197.22999572753906,327.75
2020-08-03,3294.610107421875,59.312442779541016,197.52999877929688,343.95001220703125
2020-09-01,3526.64990234375,60.990745544433594,200.25,360.1000061035156
2020-10-01,3380.800048828125,60.02501678466797,194.47000122070312,343.1000061035156
2020-11-02,3310.239990234375,58.30921173095703,189.72000122070312,345.8500061035156
2020-12-01,3662.449951171875,67.31953430175781,208.39999389648438,383.1499938964844
